row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
42,,,,,,,,,,,,,,,,,,01,01,03,02,01,04,03,03,02,02,02,02,02,07,07,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,03,04,04,03,07,07,02,02,02,02,02,02,02,02,02,01,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,01,01,04,01,04,03,03,03,03,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,07,07,07,07,07,02,02,02,02,02,02,02,03,04,01,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,01,01,04,03,03,03,03,03,03,03,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,03,03,04,04,01,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,01,04,03,03,03,05,03,03,03,03,03,03,03,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,03,03,03,03,03,01,01,01,01,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,01,04,03,03,03,05,05,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,02,03,03,03,03,03,03,03,03,03,03,03,03,03,03,04,01,02,02,04,01,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,01,04,03,03,03,03,03,03,03,05,05,05,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,05,03,03,03,03,03,03,03,03,04,01,02,02,02,04,01,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,01,01,03,03,03,03,03,03,03,03,03,03,03,03,03,05,05,03,03,03,03,03,03,03,03,03,03,03,03,05,03,03,03,03,03,03,03,03,03,01,01,03,02,02,01,01,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,01,03,03,03,03,03,03,02,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,05,03,03,03,03,03,03,03,03,04,01,04,02,02,02,01,01,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,01,04,03,03,03,03,03,02,02,03,03,02,03,03,03,03,02,03,03,03,03,03,03,03,03,03,03,03,03,03,05,03,03,03,03,04,01,01,04,02,02,02,03,01,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,01,01,03,03,03,03,02,02,02,03,02,02,02,03,03,02,02,03,03,03,02,02,03,03,03,02,03,03,03,03,05,03,03,03,04,01,02,02,02,02,02,02,01,01,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,01,04,03,03,03,03,03,02,03,02,02,02,03,03,02,02,03,03,02,02,02,03,03,02,02,03,03,03,03,05,03,03,03,01,03,02,02,02,02,03,01,01,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,01,01,03,03,03,03,03,02,02,02,03,02,03,02,02,02,02,03,02,03,02,03,03,02,02,02,03,03,03,04,03,03,03,01,02,02,02,02,03,01,01,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,01,04,03,03,03,03,02,02,03,03,02,02,02,03,03,02,03,02,03,02,03,02,02,03,03,03,03,03,03,03,03,03,01,02,02,02,02,03,01,01,,,,,,,,,,,,,,,,
