行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
1,D17,C3,D17,D17,D17,D17,D17,D17,D17,D17,D17,D11,C16,D3,D22,D22,D22,D22,D22,D22,D22,D3,D2,D2,D3,D2,D17,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D3,D3,D22,D4,D10,C20,B10,C16,D3,D2,D22,D3,D3,D3,D3,D22,D1,C9,D3,D3,D3,D3,D24,D2,D2,D2,C9,C9,D2,C3,C3,C3,C3,C3,C6,D22,D22,D4,D4,D4,D4,D4,D4,D4
2,H2,D17,D17,D11,D17,D17,D17,D17,D17,D17,D11,D2,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,D2,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D3,D4,C25,H2,H2,C26,D3,D3,D3,D3,D3,D22,D3,C9,C9,D3,D3,D3,D3,D3,D3,D24,D22,D3,D3,D22,C6,C3,C3,C3,C6,D22,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
3,D17,H2,D17,D11,D11,D17,D17,D17,D17,D11,D2,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D17,C9,D22,D22,D2,D3,D22,D22,D22,D22,D22,D3,M11,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D4,C25,H2,C27,C25,C16,D3,D3,D3,D3,D3,D3,D22,D22,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D2,D2,C6,C3,C3,D2,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
4,D2,C6,D17,D17,D11,D17,D17,D17,D11,D2,D22,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,D2,D2,D22,D22,D3,D22,D22,D3,D2,D22,D3,D3,D8,D2,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D4,C27,C25,C6,D11,C3,D22,D3,D3,D3,D3,D3,D22,D22,D22,D4,D3,D3,D3,D3,D3,D3,D3,D22,D2,D2,C6,C6,C6,D22,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
5,D2,D1,C6,D11,D17,D17,D17,D11,D22,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D8,M11,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D4,C27,C25,C3,D22,D17,C26,D3,D3,D3,D3,D3,D3,D22,D3,D3,D4,D4,D3,D3,D3,D3,D3,D3,D3,D3,D2,C6,C9,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
6,D2,D2,C6,D2,D11,D17,D11,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,D8,M11,D4,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D3,D22,D3,D10,C25,C27,C3,C26,D24,C25,C16,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D3,D3,D4,D4,D3,D2,D2,D22,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
7,C6,D2,C6,D2,D11,D11,D2,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D4,D8,D8,M11,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D3,C3,H2,C3,C26,D2,D1,C25,D4,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D3,D3,D22,C9,D22,D3,D3,D4,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
8,C6,D11,D11,D11,D11,D11,D22,D3,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D22,D3,D22,E17,D8,M11,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,H2,C3,C6,C26,D2,D17,C3,D4,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D3,D3,D3,D22,D22,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
9,D2,D11,D11,D11,D17,D11,D3,D3,D22,D22,D22,D24,D22,D24,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D3,D3,D3,D3,D3,E17,E17,D8,M11,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,H2,C25,C6,C20,C6,D2,C25,C26,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
10,D2,D11,D11,D11,D17,D11,D3,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D3,D3,D3,D22,D3,D22,E17,D8,D8,M11,D8,D22,D3,D22,D3,D22,D22,D3,D22,D22,D22,D3,C20,C25,C6,C6,C6,C6,D2,C25,C26,D3,D22,D2,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D3,D3,D3,D3,D4,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3
11,D2,D11,D11,D11,C27,D2,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,D24,D24,D22,D22,D22,D22,D3,D3,C12,M11,D2,D3,D3,M11,E17,D8,D8,D8,E17,D22,D3,D22,D22,D3,D22,D22,D22,D22,D1,D22,B10,C26,C6,C6,C26,C6,D2,C25,C18,D3,D2,D2,D4,D2,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D22,D22,D4,D3,D24
12,C6,D11,D11,D11,C27,D2,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22,D3,D3,C18,C16,D2,H2,D3,D22,E16,E17,E17,D8,E17,E17,D3,D22,D22,D3,D3,D3,D3,D22,D3,D4,C26,D11,D11,C6,C26,C26,C6,D11,C25,C16,D3,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D3,D3
13,C6,C6,D11,D17,C27,D2,D3,C9,D24,D24,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,C18,B10,D3,D22,H2,D11,M11,E17,E17,E17,D8,E17,M11,D3,C9,D3,C16,C26,C26,D2,D3,D3,C18,C3,D11,C6,C6,C26,C3,D2,D11,C25,C16,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3
14,C6,C6,D11,D17,C27,D11,D3,C9,D24,D24,D22,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,C18,B10,B10,D3,D2,E17,E17,D8,D8,E17,E17,E17,E16,D3,D3,D24,D4,C26,C3,C3,C26,C16,D4,C26,D17,D11,C6,C26,C26,C3,D2,D17,C25,C16,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D22,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
15,C6,C6,D11,D17,D17,D17,D22,D24,D24,D22,D11,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D3,C18,C18,B10,C26,D3,D2,E16,E17,E17,E17,E17,E17,E17,D2,D3,D24,D3,C18,C3,C6,D4,D3,D4,D10,C26,D8,D2,C26,C26,C3,C3,D11,D17,C25,C16,D3,D3,D3,D3,D3,D22,D22,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
16,C6,C6,C6,D17,D17,C27,D2,D3,D24,D22,D17,D22,D24,D24,D24,D24,D24,C9,D24,D22,D22,D24,C16,C18,C18,B10,C26,D3,M11,E16,E17,E17,E17,E17,E17,E17,D2,D3,D24,D4,C18,C3,D3,D3,C9,D24,D3,C26,D11,D2,C26,C26,C3,C3,D11,D17,C25,C16,D3,D3,D3,D3,D22,M11,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
17,C6,D2,C6,D11,D17,D17,D17,D22,D24,D22,C27,D2,D24,D24,D24,D24,D24,D24,D3,C12,E16,D22,C16,C18,C18,B10,B10,D3,E21,E17,E17,E17,E17,E17,E17,H2,E17,D3,D24,C12,C18,C9,D3,D22,D3,D24,D3,C26,D17,D2,C26,C26,C26,C3,C6,C3,C25,C16,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
18,C6,C6,C6,D11,D17,D17,D17,D17,D22,D22,E17,M11,D3,D24,D24,D24,D24,D3,D24,D22,E21,E21,D2,D22,G17,G17,E21,C12,E17,E16,E16,H2,E16,E17,H2,H2,D3,D3,D24,C12,C20,D22,D24,D3,D2,D2,D3,C18,D11,C6,C26,C26,C26,C3,C3,C3,C25,C16,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
19,C6,C6,C6,C6,D17,D17,D17,D17,C26,D2,D11,E16,D4,D24,D24,D24,D3,D3,D22,E21,C27,E21,E16,E21,D24,D24,E21,C18,H2,H2,H2,E16,E16,H2,H2,C16,D3,D24,D3,C12,C18,C16,D3,D22,D1,D3,D22,C18,C26,D2,C26,C26,C26,C3,C3,C3,C3,C18,D3,D3,D3,D3,D3,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
20,D2,C3,C6,C6,D11,D17,D17,D11,C20,D11,D11,H2,G17,D3,G17,M11,E21,C12,G17,D11,D8,D8,D22,E16,D8,D8,D11,D8,H2,H2,H2,H2,H2,E16,D4,D3,D24,D24,D3,C12,C18,C18,C12,D22,D3,D22,C16,D2,C18,C18,C20,C26,C26,C3,C3,C3,C25,C26,D3,D3,D22,C6,C26,C3,C20,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D3,D4,D4,D4,D4,D4,D4,D4,D22,D4,D4,D4
21,C9,C6,C3,C6,C6,D11,D17,D17,C20,D11,D11,D8,H2,C16,C12,E21,D1,G17,B10,C3,D17,E16,D8,M11,E21,E21,M11,E16,H2,H2,H2,H2,E21,D3,D3,D24,D24,D24,D3,C18,C18,C18,C18,D3,D24,D3,D4,D1,C18,C18,C18,C18,C20,C3,C3,C3,C3,C26,C12,C26,B10,B10,C26,C16,B10,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D10,D3,D22,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
22,D1,C9,C26,C3,C6,C6,D11,C27,D17,D22,D8,D8,E17,H2,D10,D22,D24,G17,E16,C25,C3,H2,H2,D24,D22,D2,D24,G17,G17,E17,E21,D4,D3,D24,D24,D24,D24,D24,D22,C18,C18,C18,C26,C16,D3,D24,D4,D2,D1,C18,C18,C18,C18,C18,C26,C18,C18,C26,C3,C3,C20,C20,C3,C26,C18,C18,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,C3,M11,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
23,D1,D1,D1,C26,C3,C6,D2,D2,D17,D11,D11,D8,D11,H2,D17,D4,G17,G17,D11,C25,B10,C27,D24,D3,D2,D11,D24,D24,D24,E16,G17,D3,D24,D24,D24,D24,D24,D24,D3,C18,C18,C18,C26,C26,D22,D3,D3,D2,D1,C16,C18,C18,B10,C18,C18,C18,C26,C18,C12,D10,D10,D10,C18,B10,C26,C26,B10,D2,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,C27,H2,C26,D4,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
24,D1,D1,D1,D22,C20,C3,D11,C20,D2,D11,D17,D17,D17,D11,E21,G17,M11,C6,D24,D24,D2,M11,E17,H2,H2,H2,E17,D8,E17,E16,G17,D3,D3,C9,D24,D24,D24,D24,C16,C18,C18,C18,C18,C26,C26,C16,D4,D22,D11,D1,C18,C18,C18,C18,B10,C18,C18,C12,C16,C20,C16,D10,C18,B10,C26,C26,B10,B10,C16,D3,D3,D3,D3,D3,D3,D3,D3,D3,D10,D11,H2,C25,B10,D4,D3,D3,D3,D3,D4,D3,D3,D3,D4,D4,D4,D4
25,D1,D1,D22,C9,D24,C16,C20,C6,C20,C20,D11,E17,D11,G17,G17,D24,D2,M11,M11,M11,M11,D8,D8,H2,H2,E16,D8,M11,E16,E21,C18,C26,C9,D3,D24,C9,D24,C16,C18,C18,C18,C18,C18,B10,C26,C26,C18,C16,D22,D24,C16,C18,B10,B10,B10,B10,B10,C26,C26,C20,C26,C12,C12,C26,C18,C26,C26,C26,B10,D4,D3,D3,D3,D3,D3,D3,D3,D10,D22,H2,C3,C25,C25,D4,D3,D4,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4
26,D1,C9,C9,D1,C9,C20,C16,C12,D22,C9,C16,D22,C18,G17,M11,D24,M11,E21,D8,M11,C27,C27,M11,D8,H2,H2,M11,E16,E21,C18,C18,C18,B10,C6,D3,D3,D22,C12,D4,C18,C18,C18,C12,B10,B10,C20,C26,C26,C26,C26,B10,B10,B10,B10,B10,B10,B10,C26,C26,C26,C26,C20,C18,C18,C16,C12,C20,C26,C26,C26,C3,D22,D3,D3,D3,D3,D3,D22,H2,C25,C3,C25,C25,C12,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
27,D2,C9,D1,C9,C20,C20,C16,D22,D24,D24,D1,D24,D22,C18,G17,M11,M11,D8,M11,M11,C25,C25,D8,D8,D8,D8,H2,E21,C18,C26,C18,C18,C18,C25,C25,C6,C12,D3,D3,C18,B10,C12,C16,C26,B10,B10,B10,C20,C26,B10,B10,B10,B10,B10,B10,B10,B10,B10,C26,C26,C26,C26,B10,C18,C20,C20,C12,C20,C3,C3,B10,C25,D22,D3,D3,D3,D17,H2,C25,C3,D17,C27,D17,C12,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
28,C9,D1,D2,C20,C20,C16,D22,D1,D1,D1,D1,D1,D1,D24,C18,G17,D2,M11,E21,E17,C27,C25,D8,E17,M11,E16,D8,M11,E21,C12,C16,C18,C18,C18,C25,C25,C18,C25,C3,C12,B10,C26,D10,C18,B10,B10,B10,B10,C26,C26,C26,C26,C26,B10,B10,B10,B10,C26,C26,C18,C20,B10,B10,C18,C12,C20,C20,C6,B10,C3,C26,B10,C25,C12,D22,C27,H2,D17,D17,C27,E17,D17,D17,C12,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
29,C9,D1,C20,C20,C20,D22,D1,D1,D1,D1,D1,D1,D1,D1,D24,C12,C12,D3,D24,D11,C27,C25,E17,E17,D8,E16,D24,H2,E16,G17,C16,C12,C18,C18,C18,C18,C18,B10,C18,C12,C12,B10,C26,D10,B10,C25,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,C26,B10,B10,C26,C26,C26,C20,C6,C25,C25,C3,C3,C26,C26,C26,C25,C27,D17,D17,D17,D17,D17,C27,D17,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
30,C9,D2,C20,C20,C20,D1,D1,D1,D1,D1,D1,D1,D1,D1,D24,D24,G17,M11,D1,D3,E21,C25,C27,M11,E16,E21,G17,G17,E21,E16,H2,D17,C12,C18,C18,C18,C18,C18,C18,C18,C18,C12,B10,C26,C20,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,C20,C3,C26,C26,C3,C3,C25,C26,C3,C18,C20,C27,C27,D17,D17,D17,D17,D17,D17,D17,C26,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,M11,D22,D3
31,C9,C20,C9,C20,C20,D1,D1,D1,D1,D1,D1,D1,D1,D1,D24,D24,G17,E17,E16,G17,G17,G17,M11,E21,E16,G17,G17,G17,G17,E16,H2,H2,D8,C12,C18,C18,C18,C18,C18,C12,C18,C18,C12,B10,B10,B10,B10,B10,B10,B10,B10,C25,B10,B10,B10,B10,B10,B10,B10,B10,B10,C26,C3,B10,B10,C26,C25,C6,C6,C20,C26,C20,C27,C27,C27,C27,D17,D17,D17,D17,D17,D17,C18,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
32,C20,C20,C20,C3,C20,D1,D1,D1,D1,D1,D1,D1,D24,D1,D24,D2,G17,E21,E21,G17,C18,G17,G17,E16,E16,G17,G17,E21,E17,H2,H2,H2,H2,E17,C18,C18,C18,C18,C18,C18,C12,C18,C18,C12,B10,B10,B10,B10,B10,B10,B10,C25,C25,C25,B10,B10,B10,B10,B10,B10,B10,C26,B10,B10,B10,C26,B10,B10,C6,C20,C16,D17,C27,C27,D17,D11,D17,E17,D17,D17,D17,D11,D10,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D2,D3,D3
33,C20,C9,C26,C3,C20,D24,D1,D2,D1,D1,D1,D1,D2,D24,D2,D11,C18,G17,D22,G17,E21,G17,G17,E16,E16,C12,G17,E21,E21,E17,H2,H2,C27,H2,H2,G17,C18,C18,C18,C18,C12,C18,C18,C18,C12,C18,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,B10,C25,C27,C18,B10,C25,B10,B10,B10,B10,B10,C26,C20,D11,H2,C27,D11,D11,D11,C27,C27,E17,E17,D17,D2,C6,D22,D3,D3,D3,D3,D3,D3,D3,D3,D22,D3,D3,D3
34,C20,C20,C3,C3,C20,D24,D11,D2,D1,D2,D24,D1,D1,D24,D11,D11,D11,D11,C18,G17,E21,D24,G17,E16,D1,D24,G17,H2,E16,D8,H2,H2,E17,D11,H2,H2,H2,D17,C18,C18,C12,C12,C18,C18,C18,C18,C18,C18,C18,C26,B10,B10,B10,B10,B10,B10,B10,B10,C25,C18,C18,C25,C25,B10,C25,B10,B10,B10,C26,C20,C27,D11,G17,G17,G17,D11,D17,E17,E17,D17,D11,D11,D17,C26,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
35,C9,C20,C3,C3,C26,D24,D1,D1,D1,D1,D1,D1,D1,D2,D11,D2,D11,D8,G17,G17,E21,D24,D24,D22,D24,D22,G17,E16,C18,C12,D22,D8,H2,D10,C12,M11,D11,D11,C12,C12,C18,C18,C12,C18,C18,C18,C18,C18,C18,B10,B10,B10,B10,B10,B10,B10,B10,B10,C18,C12,C18,B10,C25,B10,B10,B10,C25,B10,C26,C3,E21,G17,G17,C18,G17,G17,M11,D17,E17,D17,D11,D11,D11,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3
36,C9,C20,C3,C26,C3,C9,D3,D1,D1,D1,D1,D1,D1,D11,D11,D2,D11,C27,C12,C18,G17,G17,D24,D1,D24,G17,E16,G17,D10,C12,C12,D10,D22,C18,C18,C18,C18,C18,C18,C12,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,B10,B10,B10,B10,B10,C25,B10,C18,D8,E16,C18,B10,B10,B10,B10,B10,B10,B10,C26,C18,G17,G17,C9,C9,D3,C12,G17,D11,D17,D11,D11,D11,D11,D22,D3,D3,D3,D3,D3,D3,D22,D3,D3,D3,D3,D22
