行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
83,D24,D24,D24,D24,D24,D1,D24,D24,D1,D1,D1,D1,D11,D1,D1,D1,D1,D1,D2,D2,D2,D2,D2,D2,D2,D2,D1,D2,C12,D22,C12,D22,C12,C18,C24,G17,C18,C18,H2,E21,C12,C18,D2,D2,D3,D2,D3,D3,D10,E21,C27,H2,C27,G17,C3,C3,C26,D4,C16,C26,C26,C26,C26,C18,C18,C18,C18,C12,C26,C12,C12,C18,C18,C18,D10,C18,C25,B10,C26,B10,C3,C26,C26,C26,C26,C26,C26,C3,D2,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1,D1
84,D24,D24,D24,D24,D24,D1,D24,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D2,D2,D2,D1,D2,D2,D1,D1,D22,C12,D22,D22,D22,D22,C12,C12,C26,G17,C18,E21,H2,E21,C12,D22,D24,C16,H2,H2,C6,D3,D10,G17,H19,G17,C20,E21,E21,G17,D22,C26,C26,C26,C26,C26,C26,C18,C18,C12,C16,C16,C12,C12,C12,C12,C12,C12,D10,C18,C25,C26,C27,D11,C26,C26,C26,C26,C20,C26,C3,D2,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1,D1
85,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D2,D2,D1,D1,D1,D1,D1,D1,D22,C12,C12,D22,D22,D22,D2,D2,C18,G17,G17,D2,C18,E21,H2,G17,C12,D10,D10,C3,H19,C25,C25,C6,D3,G17,C12,C3,C18,E21,D8,C20,C26,C26,C26,C18,C18,C26,C18,C18,C12,C16,C16,C12,C12,C12,C12,C12,C12,C12,D10,C20,D8,H2,D8,C6,C26,C26,C26,C26,C26,C3,D2,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D1,D1
86,D17,D1,D1,D1,D1,D1,D1,D24,D1,D1,D17,D11,D1,D11,D1,D2,D1,D2,D11,D1,D1,C27,D11,D1,D1,D22,C12,D22,D22,D22,D22,C12,C16,C26,C26,E21,E21,E21,G17,C12,H2,H2,E17,E21,D10,C9,C26,D1,D24,D24,D1,D10,C16,C2,C20,G17,D2,C26,C26,C18,C26,C26,C12,C18,C18,C18,C18,C16,C12,C12,C12,C12,C12,C12,C12,C12,C12,D4,E17,H2,H2,C6,C26,C26,C26,C18,C26,C3,C20,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,C6
87,D22,D24,D24,D24,D1,D1,D1,D1,D1,D1,H2,D11,D1,D1,D1,D1,D1,D1,D1,D2,C2,H2,D11,D1,D2,C12,D22,D22,D22,D22,D22,D22,C12,C18,C18,C18,C26,D11,E21,G17,E17,H2,H2,H2,E21,D3,D3,D3,D24,D24,C9,D3,D22,C3,C26,G17,C12,C18,C20,C16,C12,C18,C18,C16,C16,C16,C16,C16,C12,C16,C16,C16,C12,C12,C12,C12,C12,D4,D3,H2,D17,C6,C26,C26,C26,C18,C3,C3,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D11,C6,D11,C6
88,C20,D10,D4,D22,D3,D24,D1,D1,D1,D1,D1,D1,D1,D1,D1,D2,D2,D2,D2,D1,D11,D1,C6,D2,C12,D22,D22,D22,D22,D22,D22,C16,C12,D22,C16,C18,C26,D2,D2,D22,C12,C18,D17,H2,H2,D22,C9,D22,D24,D24,D24,D3,C18,C3,C26,C16,C16,C18,C16,C16,C16,C12,C16,D4,D3,D22,C9,C16,C12,C16,C16,C16,C12,C12,C12,C12,C12,C12,D4,D8,C24,C26,C26,C20,C20,C20,C3,C3,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,D1,C6,D11,D11,D1
89,C2,C2,C20,D3,D1,D3,D3,D1,D1,D1,D1,D1,D2,D2,D2,D2,D2,D2,D2,D2,D1,D11,D1,C12,D22,D22,D22,C12,C12,D22,D22,C12,D22,D11,D1,D10,C12,C18,C18,D22,D2,D22,C16,D22,E21,C18,D3,D22,D24,D24,D1,D3,C18,C3,C26,C9,C16,C16,C20,C16,C16,C16,D4,D3,D3,D3,D3,C16,C16,C12,C12,C12,C12,C16,D22,C12,C12,C12,D4,C20,C3,C26,C26,C20,C20,C26,C3,B10,D22,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D1,C6,C6,C24,D1,D1
90,C6,C26,C3,C3,D3,D24,D24,D10,D2,D11,D1,D11,D2,D2,D2,D2,D2,D2,D2,D2,D1,D2,C12,D22,C16,C12,D22,D22,D22,D22,C12,D22,D1,D1,D1,C12,D10,C12,C18,D2,D2,D2,D2,D2,D22,G17,D4,D24,D1,D24,C6,D3,C12,C3,C26,D22,D22,D24,C16,C12,C16,D4,D3,D3,D3,D3,D3,D4,C16,C16,C12,D4,D22,D1,D22,C12,C12,C16,C12,C12,C26,C26,C26,C20,C20,C26,C3,C26,D24,D24,D24,D1,D2,D24,D24,D24,D24,D1,D1,D11,D17,D1,C6,C6,C24,D1,D1,C2
91,D1,D1,D1,D11,D17,D3,D24,D3,D10,D11,D11,D1,D2,D2,D11,D11,D11,D2,D11,D11,C12,D10,D22,D22,D22,D2,D2,D2,D2,D22,D2,D1,D2,D11,D11,D22,D4,C12,C12,C12,C12,D22,D22,C16,D11,E17,E21,D3,H2,C6,D1,D3,C12,C3,C20,D22,C16,D1,D1,C12,C16,D4,D3,D3,D3,D3,D3,D4,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C12,C20,C26,C26,C20,C20,C26,C3,C26,D24,D24,D24,D24,D1,D24,D24,D24,D24,D1,D24,D1,D1,D1,C6,C24,C6,D1,C3,C3
92,D1,D1,D1,D24,D11,D11,D3,D3,D3,D10,D11,D1,D2,D11,D11,D11,D11,D11,D11,D2,D10,C12,G17,D2,D11,D11,D2,D22,D22,D1,D11,D2,D11,D17,D11,D22,C12,C12,D4,D1,D1,D1,D22,C18,G17,D2,D11,C12,C6,H19,D24,D3,D4,C3,C20,D22,C16,C16,D1,D3,D4,C16,D4,D3,D3,D3,D4,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C12,C16,C26,C20,C26,C26,C3,B10,D2,D24,D1,D1,D24,D24,D24,D24,D24,D24,D24,D11,D1,D1,C6,D11,C6,D1,C24,C3,C6
93,D1,D1,D1,D1,D24,D8,D3,D3,D3,D10,C16,D17,D2,D11,D11,D11,D11,D11,D2,D10,C12,G17,G17,D2,D2,D2,D22,D2,D1,D1,D2,D2,D2,D2,D11,D2,C12,D22,D4,D11,D11,D1,D1,D2,D2,C12,C12,D4,D10,D2,D22,D3,D10,C26,C9,D22,C16,C16,C16,C16,D4,D4,D4,D3,D3,D4,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C12,C12,C16,C3,C20,C26,C3,B10,C26,D24,D24,D24,D24,D24,D24,D24,D1,D1,D11,D11,D1,C6,C6,C6,C24,D1,C6,C3,C3,C2
94,D1,D1,D1,D1,D24,D1,D11,C16,D22,D3,D10,D11,D11,D11,D11,D11,D11,D2,D10,C12,G17,C12,C12,D22,D22,C12,C12,D11,D11,D2,D2,D2,D2,D2,D11,D1,C12,D22,D10,D1,D11,D11,D11,D11,D17,D24,D10,D4,C12,D3,D22,D4,D3,C16,C9,D22,D22,D22,D22,C16,D4,D4,D10,D4,D3,D10,D4,C16,C16,C16,C16,C16,C16,C16,C16,C16,C12,C12,C16,C16,C16,C3,C20,C26,C3,B10,C6,D24,D1,D24,D24,D24,D1,D1,D24,D1,D11,D11,D1,D1,D1,C6,D1,D1,C2,C3,C25,C27
95,D11,D1,D1,D2,D24,D24,D8,C26,D3,D3,D10,D2,D11,D11,D11,D11,D2,C12,G17,E21,D22,C12,D22,C18,C16,D22,D2,D11,D2,D2,D11,D1,D11,D2,D11,D1,C12,D22,C12,D22,D22,D11,D1,D22,D11,D17,D4,D10,D4,D4,D22,C12,D24,D22,D22,D22,C16,C16,C16,C16,D4,D10,D4,D1,D24,D3,D4,D4,C16,D4,C16,C16,C16,C16,C12,C16,C16,C12,C16,C16,C16,C3,C20,C26,B10,C26,D24,D24,D24,D24,D1,D1,D1,D1,D1,D1,D24,D1,D1,D1,C6,C6,C6,C3,C3,C2,C27,H2
96,D1,D1,D1,D1,D1,D24,D1,C3,D3,D3,D3,D4,E17,D2,D11,D11,D1,D22,G17,C12,C12,D10,C16,C16,D2,D11,D11,D11,D11,D11,D11,C27,D11,D1,D2,D11,D22,D22,D22,G17,G17,D24,E21,G17,D22,D11,D11,D10,D4,D4,D4,G17,D1,D4,D22,D22,D22,D22,D4,D4,D22,D24,D1,D17,D17,D8,D11,D4,D4,D4,D4,D4,C16,C12,C12,C16,C16,C12,C16,C16,C20,C3,C26,C2,B10,C24,D11,D11,D17,D17,D17,D17,C27,C27,C27,C27,C27,C2,C2,C2,C2,C2,H2,H2,H2,H2,H2,H2
97,D1,D1,D24,D1,D1,D1,D1,D17,D3,D3,D3,D3,D22,D8,D11,D11,D11,D11,D1,D22,D22,D2,D11,D11,D11,D11,D11,D11,D11,D2,D11,H2,D11,D1,D2,D11,D22,C12,D2,C12,G17,G17,E21,G17,C12,D11,C2,D1,D10,D10,D10,D1,D1,D10,C12,D22,D17,D11,D1,D11,D11,D11,D11,D11,D11,D11,D8,D2,D10,D22,D4,D4,C12,C12,C12,C12,C12,C16,C16,D3,C9,C6,C6,C3,D2,D24,D1,D1,D1,C6,D11,D11,D11,C24,C24,D17,D17,D17,C2,C2,C2,C27,H2,H2,H2,H2,H2,H2
98,D1,D1,D11,D1,D1,D1,D1,E17,D3,D3,D3,D3,D3,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D2,D11,D2,C12,E21,C18,G17,G17,G17,G17,G17,D2,C27,C27,D1,D4,D3,C27,D22,D10,D10,D1,D17,E17,D17,D11,D11,D11,D11,D11,D11,D11,D11,D8,D22,D4,D22,D4,D3,D10,C12,C12,C12,C12,D4,C27,C9,D1,C6,C6,D24,D1,D1,D1,D1,D1,D1,D1,D1,D1,C6,C6,C6,C6,C24,C6,C6,C3,C3,C3,C3,C2,C2,H2
99,D11,D1,C27,D1,D1,D1,D24,D8,D3,D3,D3,D3,D1,D10,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D2,D11,D1,D4,E21,G17,G17,G17,D1,D22,D22,D2,D17,D11,D17,D11,D11,C27,D4,D10,D24,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D8,D22,D4,D4,D1,D1,D24,D3,D22,D22,D24,H2,C9,D1,C6,D1,D1,D1,D1,D11,D1,D1,D1,D1,D1,C6,C6,C6,C6,C27,E17,C27,C27,D17,D17,C27,C24,C6,C3,C2
100,D11,D1,D24,D1,D1,D1,D1,D17,D3,D3,D3,D3,D11,D2,D22,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D4,D8,E21,G17,C18,D17,D11,D11,D11,D11,D11,D11,D17,D11,D11,D1,D1,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D8,D22,D10,D22,D8,D1,D11,D1,D1,D8,D24,D3,C9,D2,D1,D1,D1,D1,D1,D1,D1,D1,C6,C6,C6,D11,C24,C24,E17,C24,C3,C24,C24,C6,C27,D11,D1,C6,C2
101,D1,D1,D1,D1,D1,D11,E17,D17,D3,D3,D3,D3,D11,D11,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D22,D2,E17,C12,D1,D17,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D1,D11,D11,D22,D10,D2,D11,D1,D1,D11,D8,D24,C9,C16,D1,D1,D1,D1,D1,D1,D1,D1,C6,C6,D11,D11,C24,D17,C6,C24,H2,C27,D17,C27,H2,D17,D1,D1,C6,C6
102,D1,D1,D1,D1,D1,D1,D11,D22,D3,C3,D3,D24,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D11,D11,D11,D11,D11,D11,D11,D11,D22,D10,E17,G17,D1,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D11,D11,D11,D11,D11,D11,D11,D11,D17,D11,D1,D11,D11,D22,D10,D22,D1,D1,D17,D2,D4,C16,D1,D1,D1,D1,D1,D1,D1,D1,D1,C6,D11,D11,C24,C24,C6,C6,C3,C6,D1,C24,C24,D1,D24,D24,D1,C6,C6
103,D1,D11,D11,D11,D11,D1,D8,D3,D1,C3,D3,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D4,D10,E17,E21,D2,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D1,D1,D11,D1,D4,D4,D22,D22,D4,D22,D24,D1,D1,D1,D11,D17,D1,D11,D11,D11,D11,D11,C24,C24,C24,C6,C3,C24,D1,C6,C6,D1,D24,D1,D1,C6,C6,D1
104,D11,C27,D11,D11,D11,D11,E21,D1,C2,D3,D2,H2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D22,D4,D2,H2,E21,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D11,D11,D1,D1,D1,D1,D1,D11,D11,D1,D24,D1,D1,D1,D11,D11,D11,D11,D11,D17,D8,D17,E17,D11,C24,C24,D17,C24,C24,C2,D17,D11,D17,C24,C24,C24,C6,C6,C24,C6,D1,D24
105,E17,D1,D11,D17,D11,D11,D11,D17,C16,D2,C27,E17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D22,D22,D4,D2,E17,E21,D2,D11,D11,D11,D11,D11,D17,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D1,D11,D1,D1,D1,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D11,C6,D11,D11,C24,C24,C24,C24,D17,C24,C6,C6,C24,C6,D1,D2,D1,C6,D1,D24,D3,D3
106,D11,D11,D11,C27,D11,D11,D11,D3,D11,H2,D2,D11,D11,D11,D11,D11,D2,D2,D2,D11,D11,D11,D11,D11,D11,D11,D11,D11,D2,D11,D11,D11,D11,D11,D11,D11,D11,D22,D22,D4,D10,E21,D8,E21,D11,D1,D1,D1,D1,D1,D1,D11,D11,D11,D11,D11,D1,D11,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D1,D1,D11,D1,D1,D1,D1,D1,D1,D1,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,C24,C24,C24,C24,C6,C24,C24,D1,C6,C6,D1,D24,D3,D24,D24,D1,D24,D3,D3,D3
107,D17,D17,D11,C27,D11,D1,D24,D11,H2,D8,E17,C27,C27,C27,E17,E17,E17,E17,C27,D8,D8,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D24,C12,D1,D1,D10,D22,D2,E21,E21,D11,D2,D22,E21,E21,D17,D11,D11,D17,D11,D17,D17,D11,D17,D17,D17,D17,D17,D17,D17,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D11,D17,D17,D17,D17,D17,D17,D17,D17,D17,D17,C2,C2,C3,C2,D17,C6,C24,C24,D1,D24,D24,D1,D1,D1,D24,D3,D24,D3,D3
108,D2,D2,D2,D11,D22,D11,E17,E21,D11,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,E21,E21,E21,E21,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D22,C12,C12,D2,D11,D3,D10,C12,C12,G17,G17,C12,C12,G17,G17,D2,D2,D2,D2,E21,E17,C24,D2,D2,D2,D2,D2,D2,D2,D2,D11,D2,D2,D2,D2,D2,D2,D2,D2,D2,E21,D11,D2,D2,D2,D2,D2,D2,D2,C6,C6,C26,C26,C26,C20,C26,C6,D2,C20,D2,C9,D3,D3,C9,D22,D3,D3,D3,D3,D4,D4,D22
