行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
21,C6,C6,C6,C6,D11,D17,D17,D17,C24,C26,D2,D11,H2,C18,D24,D24,D24,D24,D24,D3,D24,G17,D11,D8,E21,H19,G17,D24,D24,H19,C18,D8,H2,H19,H2,H2,H19,H19,H2,H19,D4,D3,D24,D3,C12,C18,C16,D3,D3,D2,D2,D3,D22,C18,C26,D2,C26,C26,C26,C26,C3,C3,C3,C2,C18,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
22,C6,C24,C6,C6,C6,D17,D17,D17,D11,C20,D11,D11,D8,E17,D3,D24,C18,D24,G17,D3,D22,E21,C24,H2,D8,G17,H19,D24,D24,E17,D2,H2,H2,H2,H2,H19,H2,H2,H19,D4,D3,D22,D24,D22,C12,C18,C18,D4,C12,D3,D3,D22,D22,C26,C18,D2,C6,C26,C26,C26,C3,C3,C3,C2,C26,D3,D3,D3,D3,C9,C6,C6,D22,D24,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
23,D22,C6,C6,C6,C6,C24,D17,D17,C24,C20,D11,D11,D11,H2,C18,D3,G17,E17,E21,G17,G17,C24,C24,D8,D8,D24,E21,H19,E17,D11,D11,H2,H2,H2,H2,H2,H2,G17,D3,D3,D24,D22,D24,D22,C18,C18,C26,C18,C16,D24,D22,D22,C16,D1,C18,C18,C18,C26,C26,C26,C3,C3,C3,C2,C3,D4,D3,C20,C3,C3,C18,C26,B10,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D22,D4,D4,D4
24,D1,D22,C24,C6,C6,C6,C24,D17,D17,C20,D2,D8,D11,D8,H2,C16,D10,E21,D24,G17,B6,C2,C3,C27,H2,E17,D24,G17,E21,D11,H19,H19,H2,H2,H2,E17,C16,D3,D24,D24,D24,D24,D24,D22,C18,C18,C18,C26,C12,D3,D22,D3,C16,D1,D22,C18,C18,C18,C18,C26,C24,C24,C3,C26,C18,C18,C26,B10,C3,C3,C3,C16,C18,C18,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D10,D22,D22,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
25,D1,D1,D2,C3,C6,C6,C6,D2,C27,D17,C20,D11,D8,D11,E17,H2,D10,D24,D2,G17,H19,C2,C3,C2,H2,E17,D24,D24,D2,D1,D24,G17,G17,E21,C12,D3,D3,D24,D24,D24,D24,C9,D24,C16,C18,C18,C18,C26,C18,D3,D3,D24,D4,D2,D1,C18,C18,B10,C18,C18,C18,C18,C18,C18,C26,C3,C26,C16,C16,C16,C26,C26,C26,C18,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,C2,D17,D4,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
26,D1,D1,D1,D2,C3,C24,C6,D2,D2,D11,D17,D11,D11,D8,D11,H2,D17,D10,G17,E21,D2,D11,C25,C25,E21,D10,D22,D2,D11,D8,D24,D24,D2,H19,G17,D3,C9,D24,D24,D24,D24,C9,D24,D4,C18,C18,C18,C18,C26,C18,D4,D3,D3,D2,D1,D22,C18,C18,C18,B10,C18,C18,B10,C26,C18,C12,D10,C12,C12,D10,C18,B10,B10,C26,B10,B10,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,H2,H2,C2,D4,D3,D3,D3,D4,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4
27,D1,D1,D1,D1,D4,C26,C24,C24,C20,D2,D11,D17,D17,D17,D8,D11,E21,E21,D11,C6,D22,D24,D24,D2,D8,H2,H2,H2,H2,E17,D8,D8,H19,H19,C18,D22,D3,C9,D24,D24,D24,D24,D24,C12,C18,C18,C18,C18,C18,C26,C26,C16,D4,D22,D1,D1,C18,C18,C18,C18,C18,B10,C18,C18,C16,C20,C20,C16,C12,D10,C18,B10,C26,C26,B10,B10,B10,D10,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D10,D17,H2,D17,C25,C16,D3,D3,D4,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4
28,D1,D1,C9,D22,D24,D22,C16,C20,C24,C6,D2,D11,D17,D17,D11,G17,G17,D24,D2,D8,E21,E21,E21,D8,D8,E17,H2,H2,H19,E17,D8,E21,H19,C18,C18,C26,C9,D3,D24,D24,D24,D24,C18,C18,C18,C18,C18,C18,C18,C26,C20,C26,C18,C12,D22,D24,D22,C18,B10,B6,B10,B6,B6,B10,C26,C26,C26,C20,C26,D10,C18,C26,C18,C26,C26,C26,B10,C26,D3,D3,D3,D3,D3,D3,D3,D3,D3,D10,D2,H2,D17,C2,C2,C18,D3,D3,D4,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4
29,D1,D2,D22,D1,D1,C9,C20,C16,C16,D22,C9,C16,C16,D2,G17,G17,D24,D24,E21,E21,E21,E21,D8,C2,E17,D24,E17,H2,H2,D8,E21,H19,G17,C16,C18,C18,B10,C6,D3,D3,D24,C16,C18,D4,C18,C18,C18,C12,C26,B6,C26,C20,C26,C26,C26,C18,B10,B6,B6,B6,B6,B6,B6,B10,C26,C26,C26,C20,C26,C18,C18,C18,C18,C12,C16,C26,C26,C26,C26,C6,D3,D3,D3,D3,D3,D3,D3,D2,H2,C2,C3,C2,C2,C18,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4
30,D2,D22,D1,D1,C16,C20,C20,C16,D22,D24,D24,D24,D24,D22,C18,G17,E21,D24,D8,D8,D8,E21,E17,C2,E17,D8,D8,E17,D8,D8,H2,G17,C18,C18,C18,C18,C18,C25,C2,D22,D3,C12,D24,D3,C18,C26,C12,C16,C18,B6,B6,B10,C26,C26,C26,B10,B6,B6,B6,B10,B10,B6,B6,B6,B10,C26,C26,C26,C26,C26,B10,C26,C20,C20,C12,C20,C26,C3,C3,B10,C2,D4,D3,D3,D3,D3,D17,H2,C2,C3,C2,C2,D17,C18,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4
