行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
49,D8,D22,D24,D1,D1,D1,D22,C12,D24,D24,D24,D1,D1,D22,C12,C12,C12,C16,C12,C12,C12,C12,G17,C18,C16,D2,D2,D11,E21,D3,D1,D3,D3,C25,C12,C18,C18,C18,C18,C20,C3,D2,G17,D2,C3,C2,C20,C12,G17,C18,B6,C18,E17,C25,B6,B6,B6,C18,C18,C26,C18,D22,D24,D24,D24,D3,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24
50,D11,D24,D1,D1,D1,D1,D24,D10,D10,D24,D24,D24,D2,D1,D24,D22,C12,C12,C12,C12,C18,E21,E16,E17,E21,G17,C12,D22,E21,D3,D3,D3,C2,C25,C12,C18,C12,C18,G17,C9,D22,D24,E21,C3,C25,C3,E21,E16,H2,E21,C26,B6,H2,C27,C18,H2,C18,C18,B6,C26,C18,C18,D24,D24,D24,D24,D24,D3,D24,D24,D24,D24,D24,D24,D24,D22,D24,D3
51,D22,D24,D1,D24,D1,D1,D11,D1,D22,C12,D22,D1,D24,D22,D24,D1,D24,C12,C18,D11,D8,E21,E17,E16,H2,E16,G17,E21,D10,D10,D10,D3,C26,C2,C12,E21,E21,G17,D11,C2,C12,E21,C3,C3,C26,G17,H2,H2,H2,E16,E21,C18,C3,H2,C18,H2,C26,B6,B6,C26,C18,C18,D24,D24,D1,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D22
52,D1,D1,D1,D24,D1,D1,D24,D24,D1,D1,D1,D24,D1,D1,D24,D22,D22,D2,D11,E21,E21,E21,E17,E17,E17,H2,E21,E16,E21,D10,D10,D4,C2,D1,C9,G17,E21,C12,C20,D17,G17,C16,C25,C2,H2,H2,E16,E21,E16,E16,H2,E21,D17,H2,D11,D8,C26,C3,C25,C26,C18,C26,D1,D24,D1,D1,D24,D24,D3,D3,D3,D3,D3,D24,D24,D24,D24,D24
53,D1,D1,D24,D1,D1,D2,D24,D24,D2,D24,D24,D1,D1,D22,D22,G17,D2,E21,E21,E21,D11,E21,E21,E17,E17,H2,E21,E16,H2,E16,D10,D10,C2,D2,D3,C12,G17,C12,C18,D11,E17,D11,C20,C26,C2,H2,E16,E21,E21,C27,H2,E16,H2,H2,C27,D8,G17,H2,C3,C18,C26,C2,D2,D24,D1,D1,D24,D24,D24,D3,D3,D3,D3,D3,D24,D24,D24,D3
54,D1,D1,D24,D24,D24,D1,D24,D24,D24,D1,D1,D22,C12,C12,G17,D2,D2,G17,E21,G17,C18,E17,E21,G17,D8,E17,E21,E17,E17,H2,E21,D10,C25,C2,D3,D10,C12,C18,D11,D8,E17,D8,H2,E17,E16,H2,E17,G17,D8,H2,H2,H2,H2,H2,E17,C27,D11,D17,C26,C18,C26,C2,C26,D24,D1,D1,D1,D1,D1,D24,D24,D3,D3,D3,D3,D3,D24,D24
55,D1,D24,D24,D24,D24,D1,D24,D24,D24,D24,C12,D10,D10,G17,D2,C18,G17,D2,D2,D22,C12,C26,E17,E21,D2,G17,E21,E17,E17,E16,E21,G17,C2,C2,D3,E21,C26,C18,G17,E17,H2,H2,D2,D8,H2,H2,E21,G17,E21,C25,E17,H2,H2,H2,E17,E17,D11,C18,C3,C18,C26,C2,C26,D24,D24,D1,D24,D11,D17,D24,D24,D1,D24,D3,D3,D3,D3,D24
56,D1,D1,D24,D24,D24,D1,D24,D24,C12,C12,C18,C18,G17,D22,D22,D22,C18,C12,C12,D10,D4,C18,C26,D8,E21,G17,E21,E21,E21,E17,E21,D22,C3,C25,C16,E21,H2,G17,G17,C27,H2,H2,G17,E21,E21,E21,C12,C18,B6,B6,C25,E17,E17,D8,E17,H2,H2,C26,C26,C18,C26,C3,C3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3
57,D1,D1,D24,D24,D24,D24,D1,D24,C12,G17,C18,D22,D22,D22,C12,D22,D22,D22,D22,D24,D1,D22,C26,C18,D11,E17,G17,E21,E21,E21,D22,D24,D22,D1,D22,E16,H2,H2,C27,D17,H2,E17,C26,C25,C26,C20,C16,B6,C26,C18,C2,C2,C2,D17,E21,C26,E17,C2,C3,C26,C26,C26,C25,D2,D24,D24,D24,D24,D24,D24,D24,D24,D24,D1,D1,D24,D24,D24
58,D24,D24,D24,D1,D1,D1,D1,D1,D24,D10,D10,C12,D10,D10,C12,D1,D1,D1,D1,D1,D1,D22,C18,C26,C18,E17,E17,G17,E21,G17,D4,D22,D24,D24,D3,E21,H2,C27,H2,C27,H2,C2,C3,D2,D22,C16,C26,C18,C12,C16,C20,D4,C3,C25,C25,C25,C26,E21,C26,C3,C3,C26,C3,D2,D24,D24,D24,D24,D24,D24,D24,D1,D1,D1,D24,D1,D24,D24
